Numero,Pregunta,A,B,C,D
1,El resultado de 2x + 3x2- 6 + x - 5x2+ 5 es:,A) -2x2+ 3x - 1,B)x2- 1,C) x2,D)1 - x2
2,Se reparte un pastel de la siguiente manera: a la primerapersona se da 2/9 a la segunda 1/3 y a la última el resto.¿Qué fracción recibe la tercera persona?,A) 4/9,B) 6/9,C) 7/9,D) 7/9
3,Un medicamento sin IVA cuesta $680; ¿cuánto se paga porel  mismo  medicamento  después  de  descontar  el  20%  y aplicarle el 16% de IVA?,A) $157.76,B) $571.20,C) $631.04,D) $788.80
4,10  guajolotes  consumen  120  kg  de  alimento  durante  3días. ¿Cuántos kilogramos consumen 40 guajolotes durante 30 días?,A)480,B)3600,C)4800,D)5100
5,Es el resultado de la expresión:2x - 3y + 4 - (x + 3y - 6) + 3 (x - 2),A) 2x - 1,B) 4x - 4,C) 4x - 6y + 4,D)6x - 6y - 2
6,Se tienen cuatro recipientes que contienen las siguientes fracciones de litros de agua: 2/3; 1/2; 1/5; 3/4;  ¿cuántos  litros  hay en total?,A) 6/60,B) 2 9/60,C) 1 9/60,D) 1 59/60
7,Si el coseno de un ángulo es 4/5; ¿cuál es el valor de la secante para el mismo ángulo?,A) 3/5,B) 3/4,C) 5/4,D) 4/3
8,"¿Cuál es el valor de la variable ""e"" que satisfaga el siguiente sistema de ecuaciones? 2e + 5f = 20; 8e - 5f = 16",A)e=-36/10,B) e=36/10,C)e=128/50,D)e=272/50
9,La suma de 2x + 3 y 6x - 8 se resuelve mediante la expresión:,A) (2x + 8) + (3 + 6x),B) (2x + 6x) + (3 - 8),C) (2x - 8) + (6x + 3),D) (2x + 6x - 8) + 3
10,El resultado de las siguientes operaciones es: (1/2 x 0.75)-(1.125/3/4),A) -0.177,B)-0.15,C)-1.125,D)-1
11,Elige  la  opción  que  contiene  las  expresiones  adecuadaspara completar el siguiente párrafo. Para ser un buen orador hay que reunir algunas cualidades. _________ ; se debe mostrar seguridad en uno mismo;_________ ; cuidar la presentación personal; dominar eltema y la persuasión para convencer al público._________ ; cuidar el tono de voz; los matices y la mímica.,A) En primer lugar - por ejemplo - Finalmente,B)Por ejemplo - también - En primer lugar,C) En primer lugar - finalmente - Por ejemplo,D) También - en primer lugar - Finalmente
